scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Setophaga coronata,Unspecified Yellow-rumped Warbler,UYRW,Paruline à croupion jaune non identifiée,,Setophaga
Setophaga coronata auduboni,Audubon's Warbler,AUWA,Paruline à croupion jaune de l'ouest,,Setophaga
Setophaga magnolia,Magnolia Warbler,MAWA,Paruline à tête cendrée,,Setophaga
Setophaga cerulea,Cerulean Warbler,CERW,Paruline azurée,Ontario Québec,Setophaga
Setophaga angelae,Elfin-woods Warbler,EWWA,Paruline d'Angela,,Setophaga
Setophaga pensylvanica,Chestnut-sided Warbler,CSWA,Paruline à flancs marron,,Setophaga
Setophaga castanea,Bay-breasted Warbler,BBWA,Paruline à poitrine baie,,Setophaga
Setophaga striata,Blackpoll Warbler,BLPW,Paruline rayée,,Setophaga
Setophaga fusca,Blackburnian Warbler,BLBW,Paruline à gorge orangée,,Setophaga
Setophaga dominica,Yellow-throated Warbler,YTWA,Paruline à gorge jaune,,Setophaga
Setophaga graciae,Grace's Warbler,GRWA,Paruline de Grace,,Setophaga
Setophaga adelaidae,Adelaide's Warbler,ADWA,Paruline d'Adélaïde,,Setophaga
Setophaga subita,Barbuda Warbler,BARW,Paruline de Barbuda,,Setophaga
Setophaga delicata,St. Lucia Warbler,SLWA,Paruline de Sainte-Lucie,,Setophaga
Setophaga nigrescens,Black-throated Gray Warbler,BTYW,Paruline grise,,Setophaga
Setophaga chrysoparia,Golden-cheeked Warbler,GCWA,Paruline à dos noir,Y,Setophaga
Setophaga virens,Black-throated Green Warbler,BTNW,Paruline à gorge noire,,Setophaga
Setophaga townsendi,Townsend's Warbler,TOWA,Paruline de Townsend,,Setophaga
Setophaga occidentalis,Hermit Warbler,HEWA,Paruline à tête jaune,,Setophaga
Setophaga kirtlandii,Kirtland's Warbler,KIWA,Paruline de Kirtland,,Setophaga
Setophaga pinus,Pine Warbler,PIWA,Paruline des pins,,Setophaga
Setophaga palmarum palmarum,Western Palm Warbler,WPWA,Paruline à couronne rousse de l'ouest,,Setophaga
Setophaga palmarum,Unspecified Palm Warbler,UPWA,Paruline à couronne rousse non spécifié,,Setophaga
Setophaga palmarum hypochrysea,Yellow Palm Warbler,YPWA,Paruline à couronne rousse,,Setophaga
Setophaga discolor,Prairie Warbler,PRAW,Paruline des prés,,Setophaga
Seiurus aurocapilla,Ovenbird,OVEN,Paruline couronnée,,Seiurus
Parkesia noveboracensis,Northern Waterthrush,NOWA,Paruline des ruisseaux,,Parkesia
Parkesia motacilla,Louisiana Waterthrush,LOWA,Paruline hochequeue,Ontario Québec,Parkesia
Geothlypis formosa,Kentucky Warbler,KEWA,Paruline du Kentucky,,Geothlypis
Oporornis agilis,Connecticut Warbler,CONW,Paruline à gorge grise,,Oporornis
Geothlypis philadelphia,Mourning Warbler,MOWA,Paruline triste,,Geothlypis
Geothlypis tolmiei,MacGillivray's Warbler,MGWA,Paruline des buissons,,Geothlypis
Geothlypis trichas,Common Yellowthroat,COYE,Paruline masquée,,Geothlypis
Geothlypis poliocephala,Gray-crowned Yellowthroat,GCYE,Paruline à calotte grise,,Geothlypis
Icteria virens,Yellow-breasted Chat,YBCH,Paruline polyglotte,British Columbia Ontario,Icteria
Setophaga citrina,Hooded Warbler,HOWA,Paruline à capuchon,,Setophaga
Cardellina pusilla,Wilson's Warbler,WIWA,Paruline à calotte noire,,Cardellina
Cardellina canadensis,Canada Warbler,CAWA,Paruline du Canada,Alberta British Columbia Manitoba New Brunswick Nova Scotia Ontario Prince Edward Island Québec Saskatchewan Yukon Territory Northwest Territories,Cardellina
Setophaga ruticilla,American Redstart,AMRE,Paruline flamboyante,,Setophaga
Myioborus pictus,Painted Redstart,PARE,Paruline à ailes blanches,,Myioborus
Basileuterus lachrymosus,Fan-tailed Warbler,FTWA,Paruline des rochers,,Basileuterus
Passer domesticus,House Sparrow,HOSP,Moineau domestique,,Passer
Passer montanus,Eurasian Tree Sparrow,ETSP,Moineau friquet,,Passer
Myioborus miniatus,Slate-throated Redstart,SLAR,Paruline ardoisée,,Myioborus
Cardellina rubrifrons,Red-faced Warbler,RFWA,Paruline à face rouge,,Cardellina
Basileuterus culicivorus,Golden-crowned Warbler,GOLW,Paruline à couronne dorée,,Basileuterus
Basileuterus rufifrons,Rufous-capped Warbler,RCWA,Paruline à calotte rousse,,Basileuterus
Motacilla alba,White Wagtail,WHWA,Bergeronnette grise,,Motacilla
Motacilla alba lugens,Black-backed Wagtail,BWAG,Bergeronnette lugubre,,Motacilla
Motacilla tschutschensis,Eastern Yellow Wagtail,EYWA,Bergeronnette de Béringie,,Motacilla
Motacilla cinerea,Gray Wagtail,GRAW,Bergeronnette des ruisseaux,,Motacilla
Anthus rubescens,American Pipit,AMPI,Pipit d'Amérique,,Anthus
Anthus gustavi,Pechora Pipit,PEPI,Pipit de la Petchora,,Anthus
Anthus hodgsoni,Olive-backed Pipit,OBPI,Pipit à dos olive,,Anthus
Anthus cervinus,Red-throated Pipit,RTPI,Pipit à gorge rousse,,Anthus
Anthus spragueii,Sprague's Pipit,SPPI,Pipit de Sprague,Alberta Manitoba Saskatchewan,Anthus
Cinclus mexicanus,American Dipper,AMDI,Cincle d'Amérique,,Cinclus
Oreoscoptes montanus,Sage Thrasher,SATH,Moqueur des armoises,Alberta British Columbia Saskatchewan,Oreoscoptes
Mimus polyglottos,Northern Mockingbird,NOMO,Moqueur polyglotte,,Mimus
Mimus gundlachii,Bahama Mockingbird,BAMO,Moqueur des Bahamas,,Mimus
Mimus gilvus,Tropical Mockingbird,TRMO,Moqueur des savanes,,Mimus
Dumetella carolinensis,Gray Catbird,GRCA,Moqueur chat,,Dumetella
Toxostoma rufum,Brown Thrasher,BRTH,Moqueur roux,,Toxostoma
Toxostoma longirostre,Long-billed Thrasher,LBTH,Moqueur à long bec,,Toxostoma
Toxostoma curvirostre,Curve-billed Thrasher,CBTH,Moqueur à bec courbe,,Toxostoma
Toxostoma bendirei,Bendire's Thrasher,BETH,Moqueur de Bendire,,Toxostoma
Toxostoma redivivum,California Thrasher,CATH,Moqueur de Californie,,Toxostoma
Toxostoma lecontei,LeConte's Thrasher,LCTH,Moqueur de Le Conte,,Toxostoma
Margarops fuscatus,Pearly-eyed Thrasher,PETH,Moqueur corossol,,Margarops
Toxostoma crissale,Crissal Thrasher,CRTH,Moqueur cul-roux,,Toxostoma
Melanotis caerulescens,Blue Mockingbird,BLMO,Moqueur bleu,,Melanotis
Campylorhynchus brunneicapillus,Cactus Wren,CACW,Troglodyte des cactus,,Campylorhynchus
Thryophilus sinaloa,Sinaloa Wren,SIWR,Troglodyte du Sinaloa,,Thryophilus
Salpinctes obsoletus,Rock Wren,ROWR,Troglodyte des rochers,,Salpinctes
Catherpes mexicanus,Canyon Wren,CANW,Troglodyte des canyons,,Catherpes
Thryothorus ludovicianus,Carolina Wren,CARW,Troglodyte de Caroline,,Thryothorus
Thryomanes bewickii,Bewick's Wren,BEWR,Troglodyte de Bewick,,Thryomanes
Troglodytes aedon,Northern House Wren,NHWR,,,Troglodytes
Troglodytes hiemalis,Winter Wren,WIWR,Troglodyte des forêts,,Troglodytes
Troglodytes pacificus,Pacific Wren,PAWR,Troglodyte de Baird,,Troglodytes
Cistothorus stellaris,Sedge Wren,SEWR,Troglodyte à bec court,,Cistothorus
Cistothorus palustris,Marsh Wren,MAWR,Troglodyte des marais,,Cistothorus
Certhia americana,Brown Creeper,BRCR,Grimpereau brun,,Certhia
Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Bulbul orphée,,Pycnonotus
Pycnonotus cafer,Red-vented Bulbul,RVBU,Bulbul à ventre rouge,,Pycnonotus
Sitta carolinensis,White-breasted Nuthatch,WBNU,Sittelle à poitrine blanche,,Sitta
Sitta canadensis,Red-breasted Nuthatch,RBNU,Sittelle à poitrine rousse,,Sitta
Sitta pusilla,Brown-headed Nuthatch,BHNU,Sittelle à tête brune,,Sitta
Sitta pygmaea,Pygmy Nuthatch,PYNU,Sittelle pygmée,,Sitta
Baeolophus bicolor,Tufted Titmouse,TUTI,Mésange bicolore,,Baeolophus
